Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","74.63"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","480.4"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","3.2"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","551.83"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","g/personne/jour","0.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","million kcal","687.69"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","84.17"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats comestibles de chevaux et autres équidés, frais, réfrigérés ou congelés","2017","tonnes","37.46"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","682.28"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","2658.95"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","-1977"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","million kcal","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats et foies comestibles de canard, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","14063.1"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","3892.2"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","4576.4"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","13378.9"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0.55"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","g/personne/jour","0.44"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","g/personne/jour","0.08"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","g/personne/jour","0.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","million kcal","16456.04"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","2448.34"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats et foies comestibles de dinde, frais, réfrigérés ou congelés","2017","tonnes","735.84"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","tonnes","32246.18"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","tonnes","35650.12"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","tonnes","51366.39"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","tonnes","16529.91"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0.7"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","g/personne/jour","0.55"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","g/personne/jour","0.1"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","g/personne/jour","0.03"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","million kcal","20992.98"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","tonnes","2876.2"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats et foies comestibles de poulets et de pintades, frais, réfrigérés ou congelés","2017","tonnes","1008.32"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","tonnes","671.54"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","tonnes","47.86"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","tonnes","623.68"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0.03"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","g/personne/jour","0.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","million kcal","804.54"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","tonnes","102.28"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats et foies comestibles d'oie, frais, réfrigérés ou congelés","2017","tonnes","26.82"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats n.a.c. (à l'exclusion des mammifères), frais, réfrigérés ou congelés","2017","tonnes","1652.71"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats n.a.c. (à l'exclusion des mammifères), frais, réfrigérés ou congelés","2017","tonnes","0.31"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Autres utilisations (non alimentaire)","Abats n.a.c. (à l'exclusion des mammifères), frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats n.a.c. (à l'exclusion des mammifères), frais, réfrigérés ou congelés","2017","tonnes","1653.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","100829.01"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","31538.13"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","59717.4"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Loss","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","9061"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Transformés","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","4500"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Autres utilisations (non alimentaire)","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","6076.01"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","53012.72"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","2.13"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","g/personne/jour","1.76"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","g/personne/jour","0.27"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","g/personne/jour","0.11"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","million kcal","64378.65"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","8096.1"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats, comestibles, bovins, frais, réfrigérés ou congelés","2017","tonnes","3414.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats, comestibles, buffle, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats, comestibles, buffle, frais, réfrigérés ou congelés","2017","tonnes","4.31"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats, comestibles, buffle, frais, réfrigérés ou congelés","2017","tonnes","76.04"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats, comestibles, buffle, frais, réfrigérés ou congelés","2017","tonnes","-72"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","tonnes","17.91"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Loss","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","tonnes","1.61"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","tonnes","16.3"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","million kcal","17.1"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","tonnes","2.48"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats, comestibles, caprins, frais, réfrigérés ou congelés","2017","tonnes","0.78"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","tonnes","1362.9"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","tonnes","2154.86"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","tonnes","61.9"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Aliments pour animaux","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","tonnes","562.15"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","tonnes","2893.71"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0.11"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","g/personne/jour","0.1"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","g/personne/jour","0.01"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","g/personne/jour","0.01"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","million kcal","3327.77"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","tonnes","436.6"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats, comestibles, ovins, frais, réfrigérés ou congelés","2017","tonnes","167.72"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Stocks d'ouverture","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","293153.83"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","74542.75"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Variation de stock","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","604809.17"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Loss","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","26344.28"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","-263457"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","Kcal/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","million kcal","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abats, comestibles, suides, frais, réfrigérés ou congelés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Production","Abricots","2017","tonnes","226.78"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abricots","2017","tonnes","70265.65"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abricots","2017","tonnes","2984.34"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Loss","Abricots","2017","tonnes","4130.11"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abricots","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abricots","2017","tonnes","63377.99"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abricots","2017","Kcal/personne/jour","0.93"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abricots","2017","g/personne/jour","2.1"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abricots","2017","g/personne/jour","0.02"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abricots","2017","g/personne/jour","0.01"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abricots","2017","million kcal","28000.39"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abricots","2017","tonnes","595.75"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abricots","2017","tonnes","178.73"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Abricots séchés","2017","tonnes","7220.44"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Abricots séchés","2017","tonnes","1407.23"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Abricots séchés","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Abricots séchés","2017","tonnes","5813.2"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Abricots séchés","2017","Kcal/personne/jour","0.53"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Abricots séchés","2017","g/personne/jour","0.19"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Abricots séchés","2017","g/personne/jour","0.01"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Abricots séchés","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Abricots séchés","2017","million kcal","16044.44"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Abricots séchés","2017","tonnes","255.78"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Abricots séchés","2017","tonnes","34.88"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Stocks d'ouverture","Acides gras monocarboxyliques industriels; huiles acides de raffinage","2017","tonnes","48458"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Acides gras monocarboxyliques industriels; huiles acides de raffinage","2017","tonnes","406211.72"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Variation de stock","Acides gras monocarboxyliques industriels; huiles acides de raffinage","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Acides gras monocarboxyliques industriels; huiles acides de raffinage","2017","tonnes","252496.96"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Autres utilisations (non alimentaire)","Acides gras monocarboxyliques industriels; huiles acides de raffinage","2017","tonnes","153714.76"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Acides gras monocarboxyliques industriels; huiles acides de raffinage","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Importations - Quantité","Ail frais","2017","tonnes","23886.44"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Exportations - Quantité","Ail frais","2017","tonnes","1475.96"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Loss","Ail frais","2017","tonnes","2388.64"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Résidus","Ail frais","2017","tonnes","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (tonnes)","Ail frais","2017","tonnes","20021.84"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire (Kcal/personne/jour)","Ail frais","2017","Kcal/personne/jour","0.75"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité alimentaire en quantité (g/personne/jour)","Ail frais","2017","g/personne/jour","0.66"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de protéines en quantité (g/personne/jour)","Ail frais","2017","g/personne/jour","0.04"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Disponibilité de matière grasse en quantité (g/personne/jour)","Ail frais","2017","g/personne/jour","0"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Calories/Année","Ail frais","2017","million kcal","22536.58"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Protéines/Année","Ail frais","2017","tonnes","1110.01"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Matière Grasse/Année","Ail frais","2017","tonnes","134.55"
"Compte Disponibilités et Utilisations (CDU) (2010-)","Allemagne","Stocks d'ouverture","Alcool éthylique non dénaturé d'un titre alcoométrique volumique de 80 % vol ou plus","2017","tonnes","0"
